image1,image2,name,summery
https://st.hzcdn.com/simgs/5fc163b90e966d30_9-0939,https://st.hzcdn.com/simgs/6471ad000e966d2a_9-0939,"Larisa Barrel Chair, Tropical",
https://st.hzcdn.com/simgs/0f0172c90f907851_9-1813,https://st.hzcdn.com/simgs/409102ca0f907853_9-3645,"GDF Studio Evelyn Mid Century Modern Fabric Arm Chair, Mocha/Walnut",
https://st.hzcdn.com/simgs/9c5108170b48767c_9-1482,https://st.hzcdn.com/simgs/52b102b70b48767e_9-1482,Divani Casa Joseph Modern Orange Fabric Accent Chair,"accent chair,metal,orange,upholstered,velour"
https://st.hzcdn.com/simgs/219136950e828eee_9-5117,https://st.hzcdn.com/simgs/46d1cc7b0e828ef1_9-5117,"Grand Club Chair, Light Gray","grey chairs,leather arm chairs,leather chairs,living room chairs,moe's home collection chairs,moe's home collection living room,slipper chairs,sofa chairs,upholstered chairs"
https://st.hzcdn.com/simgs/2941349f0f35d739_9-1480,https://st.hzcdn.com/simgs/8de155180f35d731_9-3899,"CosmoLiving Ellis Modern Metal Accent Chair, Blush Pink","accent chair,modern"
https://st.hzcdn.com/simgs/f931ed470575da61_9-4722/home-design.jpg,,"Leatherette Dining Chairs, Set of 2, Brown","at home usa,dining chairs,white dining chairs"
https://st.hzcdn.com/simgs/1a1163c10a7c87c4_9-9046,https://st.hzcdn.com/simgs/b9014e500a7c87c7_9-9046,"Nika Dining Chair, Seat: Matte Black, Frame: Polished Silver","armless dining chair,Artificial Leather Dining Chair,black dining chair,black guest chair,black leather dining chair,black side chair,chrome dining chair,contemporary dining chair,faux leather dining chair,glamorous regency chair,HGTB447,Hollywood Regency chair,kitchen chair,modern dining chair,nika dining chair"
https://st.hzcdn.com/simgs/b5d128bb0fda3577_9-6298,https://st.hzcdn.com/simgs/384134580fda357a_9-6298,"Shell Chair, White","accent,accent chairs,chair,chairs,contemporary desk chair,Danish,desk chair,fine,Fine Mod,Fine Mod Imports,fine mod imports shell chair in white leather,finemod,fmi1162-white,furniture,home accent,home decor,imports,leather,mid century decor,midcentury,midcentury modern house,mod,Modern Mid century,oak,oak wood,oak wood desk chair,white,white desk chair"
https://st.hzcdn.com/simgs/e991ce2f07102df0_9-5562,https://st.hzcdn.com/simgs/1671e4ab07102df1_9-8135,Savonarola Chair,"chair,chairs,Dark brown chair,dark brown chairs,design toscano,furniture,hand carved chairs,renaissance chair,renaissance chairs,Savonarola chair,savonarola chair hand carved chairs,savonarola chairs,solid chair chairs,solid wood chair"
https://st.hzcdn.com/simgs/6da180c50f3fe8b2_9-6499,https://st.hzcdn.com/simgs/d921a6410f3fe8b3_9-7270,Barton Wing Chair,"barton high back office chair,blue chair,cozy armchair,Faux Linen Living Room Chairs,hardwood,Madison Park Barton Accent Chairs,modern classic style,Plywood lounge chair,silver nail heads chair,Statement chairs,swoop arm accent chair,Swoop Arm Bedroom Chairs Seats,teal chair,wingback accent chair,winged armchair"
https://st.hzcdn.com/simgs/994150580b7b491d_9-9102,https://st.hzcdn.com/simgs/4c8168a10b7b491a_9-9102,"Naomi Velvet Chair, Gold and Chrome Leg Set, Gray","14003,accent chair,chair,chairs,chrome,comfortable,contemporary,elegant,gold,gold and chrome,gold finish,modern,nice,Pretty,velvet"
https://st.hzcdn.com/simgs/93e111e00b96937f_9-2677,https://st.hzcdn.com/simgs/c01175b40b884c18_9-4820,"Milano Dining Chair, Gray","black and white,contemporary,cream,curved,curved chair,Dining,dining chair,dining chairs,dining room,eggshell,leather,metal,modern,off white,white"
https://st.hzcdn.com/simgs/8211af240cd7f4c9_9-5307,https://st.hzcdn.com/simgs/d771482a07f82adb_9-5307,"Modrest Nisse Contemporary Leatherette Dining Chairs, Set of 2, Gray, Chrome",dining chair
https://st.hzcdn.com/simgs/7991f9c60d3f1428_9-8327,https://st.hzcdn.com/simgs/53314d500d3f1425_9-0638,"Carwyn Accent chair With Footstool, Blue Woven","840469053601,armchairs,axcchr-34-bu,bath vanity,bed,blue,carwyn,carwyn accent chair with footstool,coffee table,dining chair,Dining table houzz,end table,king bed,living,media stand,ottoman,plywood,pouf,product,selling dining set,sidetable,simpli home,sofa,storage bench,storage cabinet,storage ottoman,TRuk,tv stand,uph,woven polyester fabric"
https://st.hzcdn.com/simgs/1f81ff3905e7a0ed_9-0642,https://st.hzcdn.com/simgs/7491c11405e7a0f0_9-0642,"Safavieh Lotus Side Chairs, Set of 2, Taupe I",
https://st.hzcdn.com/simgs/ddd1f3460d0cc68c_9-7324,https://st.hzcdn.com/simgs/7441dc110d0cc68e_9-7324,Hercules Madison Series Retro Light Gray Leather Tufted Lounge Chair,"accent table,activity table,banquet table,barheighttable,barstool,bookrack,chair,Commercial furniture,dining chair,dining table,dining table set,end table,folding chairs,height stool,leather chair,lether sofa,lounge chair,loveseat,marker board,microfiber recliner,office chairs,ottoman set,outdoor table,padded seat,plastic chair,reception furniture,sofa,stool"
https://st.hzcdn.com/simgs/aff121b209960e13_9-2787,https://st.hzcdn.com/simgs/e6913e9d09960e15_9-6242,Scarlett Cream Velvet Chair,"accent,accent furniture,black,burgundy,chair,chaise,chrome,comfortable couch,contemporary furniture,couch,cream,emerald,fu,gray,green,living room,love seat,loveseat,meridian furniture,nailheads,navy,ottoman,sofa,tufted,Tufting,velvet"
https://st.hzcdn.com/simgs/62615e440925b6b1_9-3054,https://st.hzcdn.com/simgs/9391c2480925b6e1_9-3054,"Parsons Elegant Tufted Upholstered Dining Chair, Set of 2, Black","accent chair,baxton chair,dining chair,dsw chair,elegant chair,fabric chair,indoor chair,kitchen chair,leather chair leather seat,living room chair,modern chair,nailhead chair,parson chair,side chair,studio chair,table chair,tufted chair,velvet dining Chair,walnut chair"
https://st.hzcdn.com/simgs/0a7128070d8a4703_9-8900,https://st.hzcdn.com/simgs/edd197290d8a470c_9-8900,"Royce Accent Chair, Garnet Rose","arm chair,Bedroom,button tufted,button tufting,Chic,contemporary,den,design,d��_cor,furnishing,furniture,gold,Home,interior,living room,mid-century,modern,office,red,sleek,solid wood,Sophisticated,wood"
https://st.hzcdn.com/simgs/4b1110470c34dff8_9-5130,https://st.hzcdn.com/simgs/bce1360a0c34dffa_9-5130,"Valencia Bonded Leather Chair, Set of 2, Black",
https://st.hzcdn.com/simgs/85115cee0c6ca094_9-1975,https://st.hzcdn.com/simgs/df7151a60c6ca096_9-1975,"Wassily Saddle Leather Chair, Black","Marcel Breuer,wasily,wasily chair,wasily lounge,wassily chair"
https://st.hzcdn.com/simgs/3e31a7a50e3adcd0_9-2175,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/9c9028b1-7e44-4522-a092-4914ce85bce0/main/300x300/15s40ms/match/image.jpg,"Gerald Mid-Century Modern Tufted Wingback Armchair, Forest Green Velvet","arm chair,armchair,Bedroom,bedroom chairs,chair,channel tufted,Chic,club chair,contemporary,glam,living room chair,lounge,metal legs,mid-century modern,modern,polished legs,square tufted,tufted,unique,upholstered,velvet,wingback,wingback armchairs"
